monthly_data_usage,number_of_calls,call_duration,rakuten_fashion_usage,rakuten_recipe_usage,streaming_quality_preference,monthly_expense
18.727005942368123,11,13.172877345456191,14.124803298642613,32.90799121487867,720p,44.32129961928186
47.53571532049581,79,72.59799099852955,17.65251958001512,3.5054069820628477,720p,111.28122974084458
36.59969709057025,215,81.77853298569451,44.704715126662535,19.762965771557887,4K,97.12724747970995
29.93292420985183,263,21.35113663106719,47.322825657520276,9.088943360868097,480p,80.1509620828104
7.800932022121826,148,50.5852692951829,44.62791137432372,7.840635265840285,720p,33.06039097376194
7.799726016810133,80,84.07030280112,20.97239969786568,41.36510748686229,4K,33.00648231373226
2.9041806084099733,214,73.28015447662506,39.01827515034408,2.0957608358128765,480p,28.836376664482454
43.308807288746756,197,54.223720549184826,23.81678666505494,20.959143795106066,480p,106.889986632412
30.05575058716044,199,59.03476904587729,24.87699260730511,8.41018278832591,720p,80.96497807890862
35.40362888980228,24,50.83605469162799,10.234005452864197,43.9665107839237,1080p,82.09086324876736
1.0292247147901223,88,29.754845131882057,29.556515162925823,27.852025663751757,1080p,14.433933942768451
48.49549260809972,267,56.50219928590161,9.306794887667397,11.5690318188424,1080p,120.9912051447896
41.622132040021086,142,68.88853020500906,16.57823495335969,25.12136435831882,720p,102.23311710054307
10.616955533913808,58,87.33229158608077,42.75151008099676,36.574317985155794,1080p,37.867140226435694
9.091248360355031,25,63.629135397924806,10.353790460542761,47.90590044597169,4K,30.795410260502543
9.17022549267169,46,76.1121537043158,3.557914258671641,11.022300212270947,4K,33.25166635577496
15.212112147976885,287,16.0071634954573,3.450379630640815,44.309088606467256,4K,51.3749406454995
26.237821581611893,265,46.15574744197899,47.03922602515539,46.71520570837451,4K,75.3412179074217
21.597250932105787,15,0.9331619827093296,25.34602189809173,45.82102722660331,480p,49.03781806248251
14.561457009902096,198,24.667886452162303,20.470603590850917,31.770717843095493,4K,46.489702665020424
30.592644736118974,281,72.64617151130048,40.543929050395924,31.491032721735383,1080p,87.49990662336799
6.974693032602092,85,99.18099513493634,41.7912963955258,20.16053165919114,720p,33.11748557869782
14.607232426760907,249,9.917809958721591,16.60955165578023,37.619894115189396,1080p,47.65624584939398
18.318092164684586,269,40.14943158612883,34.68090287368976,26.564700917546595,4K,59.101127487982055
22.803499210851797,116,80.00709686991596,38.55614079259433,33.871903561414726,480p,64.40770810869519
39.25879806965068,6,20.403563462889885,32.73253434329773,21.42289519243977,4K,85.85795248559035
9.983689107917987,136,55.50849493022862,7.579753740004969,36.574823202156956,720p,37.31822770885884
25.71172192068058,175,73.30712960296748,43.79415417585285,41.22357588022745,1080p,72.50415680165791
29.620728443102124,214,61.5985450260179,26.954727636800435,7.321812830140805,720p,81.10131138880604
2.3225206359998865,81,18.802473461541613,14.123621318500184,41.6464857787114,720p,15.575288618153936
30.37724259507192,222,35.538456868573945,21.261409271884695,27.014826589515362,720p,80.40833087700123
8.526206184364577,102,78.37917844853972,1.878554519945369,42.233295454511214,1080p,34.99033021358313
3.252579649263976,272,55.42265141320166,6.3933400611208775,21.56508531705073,4K,30.647424439848116
47.44427686266666,13,0.5229613542912737,38.277337525793044,18.952024269151753,720p,100.59084986076246
48.28160165372797,158,76.09907600280938,0.0005817377683070557,45.75303662586112,1080p,117.07311090773688
40.419867405823055,151,3.531135494023907,20.82829142411461,12.558463377420065,480p,93.7428483610485
15.230688458668535,107,74.57337827312321,26.125509054279423,42.210616264307156,1080p,48.268714744649394
4.883605700319194,187,20.24805601652374,2.7317210000486147,24.201028625470205,480p,26.142017002290764
34.211651325607846,300,95.80734801193802,48.653908148616644,25.704772127562986,1080p,98.00403745240949
22.007624686980066,97,36.79407513020845,11.306266562483597,15.4234140744742,4K,57.544656886980974
6.101911742238942,130,32.69316163380791,15.209935981814043,28.652110030950784,720p,26.973139647858673
24.75884550556351,292,14.888805033244468,15.197125612751366,16.260559813810566,4K,70.60657151445147
