timestamp,data_rate,packet_rate,voice_traffic,text_traffic,data_streaming,latency,jitter,packet_loss_rate,error_rate,signal_strength,noise_level,active_users,data_streaming_users
2023-08-21 00:00:00,926,862.303618303511,98,1,827,66,2.401498069232865,2.5541092638376366,0.35490558860926424,-89,-88,2026,1256.1610268226095
2023-08-21 00:01:00,44,43.863087045391595,48,40,-44,31,1.8376707107908665,0.8519993316226343,0.6779933467821482,-82,-115,1749,969.9327725376694
2023-08-21 00:02:00,487,547.7455524954594,84,44,359,23,0.24272807914426187,4.772669485797528,0.2771134663519219,-88,-83,4892,3423.6937244906403
2023-08-21 00:03:00,386,441.6273767942225,22,7,357,51,3.961574755493897,1.0304691915721098,0.37342778156295053,-35,-114,1296,739.1686478597542
2023-08-21 00:04:00,112,116.13130026576302,1,40,71,89,2.9632399309996194,3.5608318153464342,0.4561491816520108,-42,-108,4308,2636.3004756180258
2023-08-21 00:05:00,546,564.078475545024,88,6,452,37,0.956882457370717,3.2592171123215636,0.6433085005536676,-88,-82,4144,2443.954871169628
2023-08-21 00:06:00,589,691.4892866668574,31,51,507,36,2.1027257160369857,3.375828854505434,0.25028297374919095,-70,-115,1255,664.3597734957367
2023-08-21 00:07:00,101,114.21247540379811,35,20,46,29,2.2326207312180877,0.5841160801627454,0.2057942366434049,-40,-89,3546,2055.128604576968
2023-08-21 00:08:00,394,453.9786822581009,96,36,262,65,4.835174282422542,4.398005102764185,0.29715399095572215,-83,-116,2622,1544.0530415106862
2023-08-21 00:09:00,916,762.6941251000993,41,31,844,33,1.9666869946483785,1.909760484626034,0.32061157501250837,-83,-85,1134,789.5991819236986
2023-08-21 00:10:00,256,293.6757525391803,13,63,180,66,5.780557523085609,2.1247240906273595,0.9710239080226597,-32,-101,3708,2275.7210330435096
2023-08-21 00:11:00,179,181.79538172804845,32,98,49,44,1.1021415519538953,0.3260028921480501,0.2391184549636165,-70,-114,3452,2244.533455433648
2023-08-21 00:12:00,84,88.03042342584374,17,55,12,36,1.3064830769554117,2.445488024053094,0.1089187047214093,-81,-92,3776,2598.659293270684
2023-08-21 00:13:00,838,963.7466428707907,28,68,742,64,2.175112769380587,4.792132930973808,0.07256287967284947,-54,-107,4954,3004.7931115364363
2023-08-21 00:14:00,155,151.66131295140556,2,33,120,98,5.5851355765670405,4.978927876412481,0.4416900631170837,-51,-109,2931,1995.0343542209807
2023-08-21 00:15:00,696,643.9861134548271,14,1,681,62,3.093396114422404,0.18847350434874954,0.7191242653561377,-74,-90,4100,2453.426263489119
